text,label
"I had a really nice day today, feeling happy and content",1
"The weather is beautiful today, I'm going for a walk",1
"I'm so excited for the weekend, planning a trip!",1
"Just feeling a bit down and out, work was tough",2
"Feeling overwhelmed and stressed out by everything on my plate",2
"I'm so tired of everything lately",2
"I feel so lonely and isolated from everyone",3
"Nothing seems to make me happy anymore, I feel empty",3
"I've been crying a lot and I don't know why",3
"I'm so tired of fighting this feeling, everything is pointless",4
"I just want all of this pain to end for good",4
"I can't take it anymore, I'm thinking about disappearing",4
"It feels like the only way out is to just end it all",5
"I have a plan to hurt myself and I don't know if I can stop",5
"I've decided to end my life and have written a note",5
